hour;date;Índice de calor;Humedad relativa;Presión de vapor;Radiación solar;Temperatura;Punto de rocío;Temperatura del bulbo húmedo;Velocidad del viento;Racha de viento máxima;Dirección del viento;Humectación en hoja (porcentaje);Presión atmosférica;Precipitaciones
10;07/04/2024;11,775;90;14,32;29,25;11,775;10,17;10,9286945;3,25;6,5;213,75;32,5;935,15;0,4
11;07/04/2024;11,175;94,5;13,785;36;11,175;10,315;10,7234056;2,25;4,75;157,5;15,75;935,7;1,25
12;07/04/2024;11,275;96;13,8725;60;11,275;10,655;10,94602142;2,5;4,75;106,875;9,75;935,25;0,55
13;07/04/2024;11,6;94;14,16;87;11,6;10,6575;11,09909665;2;3,25;123,75;0,75;934,975;0
14;07/04/2024;13,525;86,75;16;559,5;13,525;11,325;12,3244362;3,5;7,25;191,25;0;933,9;0
15;07/04/2024;15,35;82,75;17,9025;451,5;15,35;12,405;13,69174679;7,25;13;253,125;0;933,3;0
16;07/04/2024;17,125;73;19,9625;348,75;17,125;12,195;14,33104833;7,5;14,25;202,5;0;932,725;0
17;07/04/2024;17,8;64,75;20,7975;175,5;17,8;11,015;14,01840983;6,25;12;225;0;932,075;0
18;07/04/2024;18,1;62,75;21,175;249;18,1;10,8325;14,05285561;6,5;11,75;202,5;0;931,55;0
19;07/04/2024;17,175;67;20,02;70,5;17,175;10,9425;13,71677501;4,25;8,5;236,25;0;931,4;0
20;07/04/2024;15,375;75;17,9425;20,25;15,375;10,9225;12,93249137;1;2,75;270;0;931,275;0
21;07/04/2024;13,1;84,75;15,57;0;13,1;10,5625;11,73740641;0;1;135;0;931,5;0
22;07/04/2024;12,1;88;14,62;0;12,1;10,1475;11,0675321;1,25;2,75;123,75;0;931,85;0
23;07/04/2024;11,275;92,75;13,8725;0;11,275;10,1325;10,67494984;0,25;1,75;112,5;0;931,7;0
0;08/04/2024;10,8;94,25;13,46;0;10,8;9,9;10,33304299;0,25;1,5;168,75;3,25;931,65;0
1;08/04/2024;10,625;93,25;13,3125;0;10,625;9,565;10,07939622;0,5;1,5;112,5;3,25;931,4;0
2;08/04/2024;10,475;90,75;13,1825;0;10,475;9,0075;9,728235719;1,25;3,5;230,625;0,5;930,825;0
3;08/04/2024;9,425;93;12,33;0;9,425;8,335;8,882597584;1,5;3;191,25;4;930,6;0
4;08/04/2024;8,625;94,75;11,7075;0;8,625;7,82;8,231259958;0;0,25;146,25;4;930,35;0
5;08/04/2024;8,6;95,75;11,6875;0;8,6;7,95;8,281976534;1,5;3,25;236,25;5,25;930,125;0
6;08/04/2024;7,55;95,5;10,9225;0;7,55;6,87;7,225908508;0,5;1,5;67,5;6;929,775;0
7;08/04/2024;6,95;96,75;10,5;0,75;6,95;6,4625;6,722228686;0;1,25;157,5;7,25;929,775;0
8;08/04/2024;8,325;96,5;11,4875;36,75;8,325;7,795;8,064964527;1,5;3,5;112,5;10,25;929,7;0
9;08/04/2024;10,125;85,75;12,895;101,25;10,125;7,8;8,976529399;7,75;13,5;180;5;929,55;0
10;08/04/2024;11;69,25;13,6325;166,5;11;5,5225;8,397399091;14,25;22,75;213,75;1,25;929,275;0
11;08/04/2024;12,5;72,5;15,0275;501,75;12,5;7,63;10,04158909;15,5;23,5;196,875;0;929;0
12;08/04/2024;11,9;85;14,4675;168,75;11,9;9,34;10,57244037;10,75;18,75;213,75;12,75;929,625;0,4
13;08/04/2024;11,625;90,25;14,1875;180,75;11,625;10,065;10,80396784;12,5;21;230,625;11,5;929,75;0
14;08/04/2024;13,05;83,25;15,5425;366;13,05;10,2;11,53416493;15,25;24,5;208,125;4;929,7;0,05
15;08/04/2024;10,15;83,75;12,9275;188,25;10,15;7,48;8,833368228;11,75;22,5;247,5;5,75;930,55;0,15
16;08/04/2024;12,625;74,25;15,125;417;12,625;8,0975;10,31919111;11;18;247,5;0;930,825;0
17;08/04/2024;12,425;68,75;14,925;377,25;12,425;6,785;9,638841407;11,25;18,25;236,25;0;931,5;0
18;08/04/2024;11,35;74;14,0225;237,75;11,35;6,7325;9,079972832;7,5;14,75;112,5;1,25;932,4;0,05
19;08/04/2024;10,125;76,75;12,8925;66,75;10,125;6,16;8,242670407;3,75;8,25;123,75;0;933,6;0
20;08/04/2024;8,875;72,75;11,8975;30,75;8,875;4,195;6,765957359;3;6,75;101,25;0;934,7;0
21;08/04/2024;7,225;74,75;10,6925;0;7,225;2,9925;5,400453004;3,5;7,75;90;0;936,05;0
22;08/04/2024;5,825;78;9,7525;0;5,825;2,24;4,330539975;2,5;5,5;112,5;0;937,475;0
23;08/04/2024;4,9;80,75;9,1725;0;4,9;1,83;3,647340629;2,25;5,5;303,75;0;938,525;0
0;09/04/2024;4,025;84,5;8,6525;0;4,025;1,6125;3,058084664;1;4,5;129,375;0;939,45;0
1;09/04/2024;3,725;86,5;8,48;0;3,725;1,65;2,89631529;2;5,75;157,5;0;940,2;0
2;09/04/2024;3,025;87,75;8,0925;0;3,025;1,1675;2,297380142;1,25;4,25;163,125;0;941;0
3;09/04/2024;2,425;89;7,7725;0;2,425;0,775;1,789920864;1,5;4,25;146,25;0;941,55;0
4;09/04/2024;1,475;91;7,2875;0;1,475;0,145;0,978755707;0;1;213,75;1,25;942,25;0
5;09/04/2024;1,65;90,5;7,375;0;1,65;0,2425;1,121690335;0,75;3,25;191,25;2,75;942,9;0
6;09/04/2024;1,05;91,75;7,08;0;1,05;-0,1625;0,604164048;0,5;1,25;157,5;2,5;943,75;0
7;09/04/2024;0,5;93,75;6,8175;0,75;0,5;-0,4025;0,17241052;0,25;1,75;202,5;3,25;944,375;0
8;09/04/2024;1,875;89,5;7,4975;79,5;1,875;0,3025;1,280841246;1,75;4;191,25;2,75;944,7;0
9;09/04/2024;3,85;83,25;8,56;247,5;3,85;1,225;2,812699427;4,25;7;202,5;0;945,325;0
10;09/04/2024;7,725;71;11,07;330;7,725;2,73;5,580255097;3,5;8,25;191,25;0;945,65;0
11;09/04/2024;9,825;65;12,65;541,5;9,825;3,485;7,002665598;2,75;6,25;123,75;0;946,45;0
12;09/04/2024;10,85;60;13,5025;682,5;10,85;3,31;7,475758152;2,75;6,25;123,75;0;946,675;0
13;09/04/2024;11,4;56;13,985;778,5;11,4;2,8225;7,583723936;3,5;9,25;56,25;0;946,975;0
14;09/04/2024;12,025;54,75;14,5475;585;12,025;3,1025;8,002822057;4;10,75;225;0;946,925;0
15;09/04/2024;12,475;50,25;14,965;705,75;12,475;2,3125;7,95083904;5;11,75;78,75;0;946,25;0
16;09/04/2024;13,325;49,5;15,79;570,75;13,325;2,89;8,579895719;4,5;12;123,75;0;946,125;0
17;09/04/2024;13,8;49,25;16,2625;345;13,8;3,255;8,946579812;4,25;10;11,25;0;946,075;0
18;09/04/2024;13,775;47;16,235;270;13,775;2,565;8,693424236;3,25;8,25;56,25;0;946,05;0
19;09/04/2024;12,7;50,75;15,18;26,25;12,7;2,6625;8,186806964;2,75;6,75;168,75;0;946,425;0
20;09/04/2024;11,675;53;14,2325;12;11,675;2,315;7,541592415;0,5;1,75;101,25;0;946,85;0
21;09/04/2024;9,35;68,75;12,28;0;9,35;3,8125;6,878465796;0;0,5;0;0;947,5;0
22;09/04/2024;7,125;82,75;10,6275;0;7,125;4,34;5,895700414;0,5;2,5;225;0;948,275;0
23;09/04/2024;5,8;88;9,7375;0;5,8;3,94;4,998092122;0,25;1,75;90;1,5;948,2;0
0;10/04/2024;5,15;87,5;9,3275;0;5,15;3,2175;4,336836925;2,75;6,5;140,625;0;948,7;0
1;10/04/2024;4,65;88;9,02;0;4,65;2,8075;3,887431037;2,5;6;45;0;948,825;0
2;10/04/2024;3,875;91,25;8,5675;0;3,875;2,5625;3,339100754;1,75;3;45;0,75;948,775;0
3;10/04/2024;3,725;92,75;8,4825;0;3,725;2,645;3,284404763;2,75;4,25;22,5;1,75;948,8;0
4;10/04/2024;3,15;94;8,16;0;3,15;2,265;2,795129964;1,75;3;45;2;948,7;0
5;10/04/2024;2,8;94,5;7,97;0;2,8;1,995;2,47977886;1;2,75;56,25;2,5;948,25;0
6;10/04/2024;2,325;95;7,72;0;2,325;1,595;2,040389951;1,5;3;11,25;3;948,6;0
7;10/04/2024;1,775;95,75;7,4375;0,75;1,775;1,1575;1,539280908;1,5;2,5;11,25;4;948,975;0
8;10/04/2024;2,45;93,25;7,7975;81;2,45;1,4475;2,056021743;1,5;2,75;56,25;7;948,95;0
9;10/04/2024;4,95;87,25;9,205;129,75;4,95;2,9825;4,128624583;4;7,25;28,125;0;949,25;0
10;10/04/2024;7,175;81,5;10,67;346,5;7,175;4,1725;5,851370276;4,75;8,25;11,25;0;949,175;0
11;10/04/2024;10,075;70,5;12,87;561;10,075;4,875;7,681627338;2,5;5,75;56,25;0;949,65;0
12;10/04/2024;12,275;62;14,78;663;12,275;5,1325;8,905764077;2,5;5;112,5;0;949,25;0
13;10/04/2024;13,675;60,75;16,1475;720;13,675;6,155;10,00544774;3,5;8;140,625;0;948,825;0
14;10/04/2024;15,175;56,25;17,715;711;15,175;6,455;10,83920543;5;12,75;45;0;948,325;0
15;10/04/2024;16,5;55;19,215;534;16,5;7,3675;11,82489414;4,5;9;78,75;0;947,975;0
16;10/04/2024;17,5;51,5;20,42;522;17,5;7,3275;12,25968112;5;11;163,125;0;947,925;0
17;10/04/2024;18,3;51,5;21,43;261,75;18,3;8,07;12,92374002;8;14,5;78,75;0;947,725;0
18;10/04/2024;17,975;53;21,0175;297;17,975;8,195;12,83340008;11,25;17,25;11,25;0;947,725;0
19;10/04/2024;17,325;55;20,2025;44,25;17,325;8,1325;12,52094096;9,25;13,5;33,75;0;947,925;0
20;10/04/2024;15,525;63,5;18,11;13,5;15,525;8,55;11,89717583;4;7;0;0;948,225;0
21;10/04/2024;12,65;76,25;15,14;0;12,65;8,53;10,55346028;1,75;3,75;90;0;948,8;0
22;10/04/2024;11,1;82,5;13,7275;0;11,1;8,195;9,651422671;1,75;3,25;16,875;0;949,45;0
23;10/04/2024;10,675;80,25;13,355;0;10,675;7,37;9,062410941;3,25;5,25;45;0;949,85;0
0;11/04/2024;10,025;80,5;12,8125;0;10,025;6,785;8,473553113;2;3,75;50,625;0;950,175;0
1;11/04/2024;8,775;85;11,825;0;8,775;6,36;7,641905095;1,75;3,5;11,25;0;950,05;0
2;11/04/2024;7,525;88,75;10,9025;0;7,525;5,765;6,719759925;2,25;4;0;0;949,9;0
3;11/04/2024;6,975;90,25;10,52;0;6,975;5,465;6,293278321;2,5;5;16,875;0;949,475;0
4;11/04/2024;7,125;88,75;10,6275;0;7,125;5,3675;6,330271376;3,25;5;33,75;0;949,425;0
5;11/04/2024;5,925;93;9,815;0;5,925;4,865;5,457811084;1;2;0;4;949,325;0
6;11/04/2024;5,425;94,25;9,4975;0;5,425;4,5625;5,049510918;1;2,25;0;5,25;949,225;0
7;11/04/2024;4,95;95;9,2025;0,75;4,95;4,2075;4,630333894;0,5;1,5;45;5;949,375;0
8;11/04/2024;5,775;93,25;9,735;72,75;5,775;4,75;5,321036714;2,75;3,25;11,25;5;949,55;0
9;11/04/2024;8,975;83,5;11,9875;252;8,975;6,285;7,70974142;5,5;7,75;33,75;0;949,65;0
10;11/04/2024;11,775;75;14,3375;432;11,775;7,44;9,632354566;8;10,75;22,5;0;949,7;0
11;11/04/2024;14,425;69,75;16,915;567,75;14,425;8,915;11,56431134;8,5;13,25;33,75;0;949,95;0
12;11/04/2024;16,7;64,25;19,455;658,5;16,7;9,8625;13,0255734;10;14,25;56,25;0;949,975;0
13;11/04/2024;18,65;59,25;21,9;692,25;18,65;10,49;14,15209868;11,5;17,75;22,5;0;949,65;0
14;11/04/2024;20,375;56,75;24,2825;705,75;20,375;11,4625;15,32280253;12,25;17,75;22,5;0;949,175;0
15;11/04/2024;21,85;52,25;26,495;653,25;21,85;11,5825;15,96541204;11,25;18,5;22,5;0;948,5;0
16;11/04/2024;22,925;48;28,2175;454,5;22,925;11,295;16,25144664;12,5;18,75;45;0;947,8;0
17;11/04/2024;23,15;47,25;28,59;327;23,15;11,265;16,32393877;13,75;19,25;22,5;0;947,5;0
18;11/04/2024;22,9;48;28,18;303,75;22,9;11,27;16,22889023;13,5;19;22,5;0;947,4;0
19;11/04/2024;21,825;50,75;26,4525;34,5;21,825;11,12;15,73728119;9,25;14;22,5;0;947,375;0
20;11/04/2024;19,8;59;23,485;12,75;19,8;11,5025;15,10184866;3,25;7;78,75;0;947,35;0
21;11/04/2024;16,2;71,5;18,8875;0;16,2;10,9725;13,33361477;1,5;3;90;0;947,825;0
22;11/04/2024;13,15;82,5;15,635;0;13,15;10,195;11,58578802;0;1;45;0;948,5;0
23;11/04/2024;11,525;87,5;14,0925;0;11,525;9,5;10,48326448;0,25;2;123,75;0;948,875;0
0;12/04/2024;10,7;89,5;13,38;0;10,7;9,0225;9,851202472;0,25;1,75;78,75;0,5;949,075;0
1;12/04/2024;10,4;89,75;13,12;0;10,4;8,7675;9,581298285;1,25;2,5;236,25;0,25;949,3;0
2;12/04/2024;9,475;91,5;12,37;0;9,475;8,1425;8,819867938;0;0,75;112,5;3,5;949,35;0
3;12/04/2024;8,4;93,5;11,54;0;8,4;7,4;7,920585328;0,25;1;123,75;7,25;949,05;0
4;12/04/2024;7,4;94,5;10,81;0;7,4;6,5625;7,010591353;0,25;1,75;236,25;7,25;948,875;0
5;12/04/2024;6,7;95;10,33;0;6,7;5,945;6,356089931;1;2,75;78,75;9,25;949,05;0
6;12/04/2024;6,35;96;10,0925;0;6,35;5,75;6,079064747;0,25;1,5;146,25;10;949,25;0
7;12/04/2024;5,85;96;9,77;1,5;5,85;5,25;5,584634201;1;3,25;168,75;10,75;949,525;0
8;12/04/2024;6,7;94,66666667;10,33666667;88;6,7;5,89;6,329503452;1;2,333333333;75;18,66666667;949,7333333;0
9;12/04/2024;9,4;88,66666667;12,32333333;268;9,4;7,596666667;8,524529825;2;4;30;9,666666667;949,8;0
10;12/04/2024;12,35;83;14,86;97,5;12,35;9,51;10,87802862;3;5,5;45;0;949,8;0
11;12/04/2024;16,775;68;19,5725;587,25;16,775;10,775;13,4875654;1,5;4;45;0;949,65;0
12;12/04/2024;19,475;59,5;23,0175;687;19,475;11,32;14,88859966;2,75;5,75;90;0;949,5;0
13;12/04/2024;22,075;53,25;26,8625;739,5;22,075;12,085;16,29390111;3;7;90;0;949,15;0
14;12/04/2024;23,625;53,25;29,3975;740,25;23,625;13,525;17,58541179;3;6,5;61,875;0;948,675;0
15;12/04/2024;24,8;49,5;31,48;659,25;24,8;13,4575;17,98968296;3,25;7,5;140,625;0;948,025;0
16;12/04/2024;26,175;35,25;34,0625;474;26,175;9,51;16,75473396;4,25;9,5;101,25;0;947,3;0
17;12/04/2024;26,525;34,25;34,75;351;26,525;9,47;16,84714055;4,25;8,75;112,5;0;946,65;0
18;12/04/2024;26,325;37;34,36;317,25;26,325;10,455;17,17442311;3,75;8,75;0;0;946,225;0
19;12/04/2024;25;44,5;31,8425;40,5;25;12,04;17,37762802;0,5;2,5;112,5;0;945,9;0
20;12/04/2024;22,325;53,25;27,285;12,75;22,325;12,27;16,47208831;0;1,25;157,5;0;945,875;0
21;12/04/2024;18,5;65,75;21,74;0;18,5;11,89;14,75603669;0,5;2,5;101,25;0;946,2;0
22;12/04/2024;15,225;79,25;17,775;0;15,225;11,6125;13,23171496;0;2;33,75;0;946,875;0
23;12/04/2024;13,125;87;15,5925;0;13,125;10,985;11,97617654;0,25;1,75;146,25;0;947,425;0
0;13/04/2024;11,775;89;14,3275;0;11,775;10,0025;10,8494779;0,75;3;118,125;0,25;947,425;0
1;13/04/2024;10,4;92;13,1225;0;10,4;9,1425;9,762890217;0,75;3;56,25;8,25;947,275;0
2;13/04/2024;9,525;93,5;12,41;0;9,525;8,515;9,024532212;0,75;2,75;135;11;947,225;0
3;13/04/2024;9,025;93,5;12,0125;0;9,025;8,0175;8,533941748;0,75;2,5;45;11;947,025;0
4;13/04/2024;8,85;91,75;11,8775;0;8,85;7,565;8,229637482;1;2,5;33,75;12,25;947;0
5;13/04/2024;8,075;92;11,2975;0;8,075;6,8375;7,49133564;1,25;3;0;14,5;947,075;0
6;13/04/2024;7,475;91,5;10,8625;0;7,475;6,165;6,869011726;1,5;3,25;174,375;12,5;946,875;0
7;13/04/2024;7,075;92,75;10,585;1,5;7,075;5,965;6,566964129;0,5;1,75;123,75;14,25;947,225;0
8;13/04/2024;8,75;88;11,8175;101,25;8,75;6,8425;7,842607432;2,75;4;67,5;2,75;947,475;0
9;13/04/2024;11,55;80,25;14,135;234,75;11,55;8,2175;9,876337131;3;5;45;0;947,7;0
10;13/04/2024;14,625;68,25;17,15;345,75;14,625;8,7575;11,57707053;4,25;7,5;22,5;0;947,675;0
11;13/04/2024;17,875;61,5;20,915;560,25;17,875;10,3175;13,73938803;2,25;5,25;78,75;0;947,525;0
12;13/04/2024;21,025;55,75;25,2475;704,25;21,025;11,7975;15,73802149;2,25;4,25;90;0;947,2;0
13;13/04/2024;23,525;51,25;29,2575;754,5;23,525;12,8125;17,19399004;2,5;5,25;112,5;0;946,525;0
14;13/04/2024;25,625;40,5;33,0075;723;25,625;11,1875;17,22687583;3,25;6,75;56,25;0;945,775;0
15;13/04/2024;26,55078681;34,5;35,0625;671,25;26,675;9,7275;16,99763931;3;8;11,25;0;945,125;0
16;13/04/2024;26,66811725;31,25;36,32;447;27,3;8,805;16,86612285;3;6,25;157,5;0;944,6;0
17;13/04/2024;27,21729427;34,25;37,5275;432,75;27,875;10,6725;17,83110275;2,25;6;202,5;0;944,175;0
18;13/04/2024;26,70904173;35,75;35,56;282,75;26,925;10,4725;17,39737666;3,25;6,75;101,25;0;943,875;0
19;13/04/2024;25,475;39;32,7275;69;25,475;10,4575;16,84882267;3;5,25;78,75;0;943,725;0
20;13/04/2024;22,65;54,75;27,8275;29,25;22,65;12,915;16,9169152;0;0,75;236,25;0;943,7;0
21;13/04/2024;18,375;67,75;21,56;0;18,375;12,2375;14,87913897;0,5;2;45;0;943,95;0
22;13/04/2024;15,2;78,25;17,75;0;15,2;11,3875;13,10534579;0,25;1,75;22,5;0;944,325;0
23;13/04/2024;13,45;83,75;15,9175;0;13,45;10,7175;11,98484896;0;0,75;146,25;0;944,425;0
0;14/04/2024;12,775;84,25;15,25;0;12,775;10,1525;11,39402973;1,25;2,5;78,75;0;944,525;0
1;14/04/2024;11,175;89,25;13,7875;0;11,175;9,45;10,28939752;0,25;2;135;0,5;944,65;0
2;14/04/2024;10,475;91;13,1825;0;10,475;9,05;9,753937201;0;0,75;22,5;6,25;944,625;0
3;14/04/2024;9,525;93,5;12,41;0;9,525;8,515;9,023635146;0,5;2;45;10,75;944,35;0
4;14/04/2024;8,9;94;11,9175;0;8,9;7,975;8,448372718;0,5;2,75;33,75;10,25;944;0
5;14/04/2024;8,15;95;11,355;0;8,15;7,39;7,784692874;0,25;1,75;45;10;943,875;0
6;14/04/2024;7,875;96;11,1525;0;7,875;7,265;7,586146233;0,25;1,5;0;11;943,7;0
7;14/04/2024;7,625;96;10,9725;2,25;7,625;7,02;7,338971072;0,5;1,75;33,75;11,5;943,775;0
8;14/04/2024;9,125;93;12,11;105;9,125;8,03;8,585164559;1,25;3;112,5;19,25;943,975;0
9;14/04/2024;12,075;83,5;14,6125;234;12,075;9,33;10,65446923;2,75;4,75;56,25;0;944,075;0
10;14/04/2024;15,375;73,25;17,97;350,25;15,375;10,54;12,75245514;1,5;3,5;78,75;0;943,95;0
11;14/04/2024;18,775;66;22,0725;603;18,775;12,2275;15,03776594;2,25;5;123,75;0;943,725;0
12;14/04/2024;21,35;60,75;25,75;677,25;21,35;13,4;16,65124805;3,75;8;123,75;0;943,55;0
13;14/04/2024;23,375;54;28,98;693;23,375;13,505;17,46978722;3,5;8,5;202,5;0;943,2;0
14;14/04/2024;25,325;51,5;32,4475;696,75;25,325;14,59;18,72406536;3;6,5;180;0;942,5;0
15;14/04/2024;27,05268086;50,25;35,6075;651,75;26,95;15,7125;19,86606001;3,5;8,75;157,5;0;941,875;0
16;14/04/2024;27,64681878;44,25;37,1725;540,75;27,7;14,4275;19,46551083;3,5;7,5;135;0;941,175;0
17;14/04/2024;27,96091643;39;38,665;392,25;28,4;13,125;19,08275228;3;7,25;146,25;0;940,65;0
18;14/04/2024;27,45781885;40,75;37,125;305,25;27,675;13,1375;18,83423716;3,75;8;146,25;0;940,45;0
19;14/04/2024;25,575;45;32,91;57,75;25,575;12,73;17,89913754;3,5;6,75;202,5;0;940,225;0
20;14/04/2024;23,025;52;28,4325;18;23,025;12,5875;16,87572126;1;2,75;157,5;0;940,125;0
21;14/04/2024;18,5;67;21,73;0;18,5;12,1725;14,89179737;0,5;2,25;123,75;0;940,3;0
22;14/04/2024;15,6;79,5;18,185;0;15,6;12,0375;13,61010093;0,25;0,75;56,25;0;940,775;0
23;14/04/2024;14,125;83,25;16,5975;0;14,125;11,2975;12,58247673;0,25;2,25;78,75;0;940,8;0
0;15/04/2024;13,175;85,5;15,6375;0;13,175;10,775;11,88639608;1;2,5;56,25;0;940,675;0
1;15/04/2024;12,575;86,75;15,065;0;12,575;10,395;11,41985547;2,75;5,5;22,5;0;940,775;0
2;15/04/2024;13;85,5;15,47;0;13;10,6;11,71855187;1,75;3,75;45;0;940,75;0
3;15/04/2024;11,875;89,75;14,415;0;11,875;10,2225;11,00611569;0;0,75;56,25;0,5;940,45;0
4;15/04/2024;11,525;90,5;14,095;0;11,525;10,01;10,73198653;1,75;4,25;67,5;0,25;940,275;0
5;15/04/2024;11,425;91,5;14,0025;0;11,425;10,075;10,71986033;0,25;1,5;191,25;0,25;940,275;0
6;15/04/2024;11,075;91;13,6975;0;11,075;9,645;10,33713152;0,75;2,5;56,25;0,5;940,2;0
7;15/04/2024;10,775;87,75;13,4375;0,75;10,775;8,8025;9,776959572;0,5;2;22,5;0;940,2;0
8;15/04/2024;11,65;85;14,24;79,5;11,65;9,165;10,36796301;1,25;3,25;22,5;0;940,625;0
9;15/04/2024;14,425;76,75;16,91;279,75;14,425;10,355;12,24000983;5;8,25;0;0;940,9;0
10;15/04/2024;15,975;70,25;18,605;353,25;15,975;10,515;13,00579137;10,25;16;16,875;0;941,275;0
11;15/04/2024;16,375;69,25;19,065;543;16,375;10,685;13,26373074;14,25;19,5;11,25;0;941,7;0
12;15/04/2024;18,125;66,25;21,2125;648;18,125;11,6825;14,49415362;11;16,25;22,5;0;941,525;0
13;15/04/2024;19,225;63,25;22,6625;702;19,225;12,0275;15,11691652;12;16,5;33,75;0;941,15;0
14;15/04/2024;20,675;59;24,71;723;20,675;12,335;15,84840688;10,75;17;33,75;0;940,85;0
15;15/04/2024;21,475;54,5;25,9125;671,25;21,475;11,8775;15,93887755;9,5;15;11,25;0;940,575;0
16;15/04/2024;22,125;52;26,9225;482,25;22,125;11,77;16,14124427;9,75;15;45;0;940,1;0
17;15/04/2024;22,4;47,75;27,36;454,5;22,4;10,7325;15,76789405;8,75;13,75;33,75;0;939,75;0
18;15/04/2024;21,975;49,25;26,6875;276,75;21,975;10,8075;15,63269257;8,75;13,5;45;0;939,725;0
19;15/04/2024;20,75;52,75;24,825;37,5;20,75;10,705;15,09748395;7,75;12;22,5;0;939,625;0
20;15/04/2024;18,775;60,5;22,08;16,5;18,775;10,8975;14,37802084;6,25;10,25;22,5;0;939,55;0
21;15/04/2024;15,35;68,5;17,925;0,75;15,35;9,5325;12,2544181;5,25;8,5;22,5;0;940,025;0
22;15/04/2024;13,425;75,75;15,89;0;13,425;9,185;11,21748958;4,75;7,5;33,75;0;940,9;0
23;15/04/2024;11,8;76,25;14,3425;0;11,8;7,715;9,76386651;8;12;50,625;0;941,4;0
0;16/04/2024;10,525;78,5;13,2325;0;10,525;6,9025;8,768684767;10,25;14;33,75;0;941,55;0
1;16/04/2024;8,775;84;11,8275;0;8,775;6,185;7,558024438;6;9;45;0;941,5;0
2;16/04/2024;7,575;87;10,935;0;7,575;5,5225;6,636475136;4;6,25;33,75;0;941,2;0
3;16/04/2024;7,05;89;10,5675;0;7,05;5,3375;6,273995181;4,75;6,75;22,5;0;940,65;0
4;16/04/2024;6,8;89;10,3975;0;6,8;5,09;6,032006891;6,5;11;33,75;0;940,575;0
5;16/04/2024;5,825;90,75;9,755;0;5,825;4,4125;5,204247298;5,25;7,5;56,25;0;940,375;0
6;16/04/2024;5,025;92,5;9,2475;0;5,025;3,895;4,540267712;2,5;5;45;6,5;940,35;0
7;16/04/2024;4,85;92,5;9,1425;2,25;4,85;3,72;4,368672514;2,25;4;33,75;10,25;940,475;0
8;16/04/2024;6,35;89;10,11;117;6,35;4,6425;5,589599449;4,75;7,5;33,75;0,25;940,575;0
9;16/04/2024;8,5;81,25;11,6225;285;8,5;5,4325;7,08459399;8,25;11,75;22,5;0;940,575;0
10;16/04/2024;10,7;74;13,39;406,5;10,7;6,2025;8,545527511;11,75;17,25;28,125;0;940,45;0
11;16/04/2024;12,7;67;15,185;598,5;12,7;6,6725;9,736962042;10,25;15,25;33,75;0;940,375;0
12;16/04/2024;14,25;61;16,73;694,5;14,25;6,765;10,51602429;9,5;15,5;33,75;0;940,125;0
13;16/04/2024;15,775;54;18,38;746,25;15,775;6,4125;11,0814295;8;12,75;22,5;0;939,725;0
14;16/04/2024;16,825;51;19,6;748,5;16,825;6,5425;11,61542875;7,5;12,75;16,875;0;939;0
15;16/04/2024;17,8;49,25;20,795;699;17,8;6,9525;12,21556154;8;14,25;22,5;0;938,475;0
16;16/04/2024;18,1;52,5;21,1725;604,5;18,1;8,17;12,85516518;10;16,25;56,25;0;938,1;0
17;16/04/2024;18,025;51,75;21,0775;448,5;18,025;7,8875;12,70017768;10;15,75;22,5;0;937,5;0
18;16/04/2024;17,5;55;20,42;270,75;17,5;8,3;12,64466413;10;15,5;101,25;0;937,25;0
19;16/04/2024;16,225;57,75;18,8925;33,75;16,225;7,825;11,87307271;8,75;13,25;45;0;937,075;0
20;16/04/2024;13,975;63,25;16,455;13,5;13,975;7,03;10,49125921;11;15,5;45;0;937,075;0
21;16/04/2024;11,2;70,75;13,825;0,75;11,2;6,0325;8,719630281;9,5;15;61,875;0;937,55;0
22;16/04/2024;9,075;74,25;12,0575;0;9,075;4,6825;7,072371771;11;16;33,75;0;938,45;0
23;16/04/2024;7,8;76;11,0975;0;7,8;3,7825;6,028418959;11,25;17,75;22,5;0;938,875;0
0;17/04/2024;6,875;79,25;10,45;0;6,875;3,4875;5,405182572;7,75;11,25;39,375;0;939,175;0
1;17/04/2024;6,275;82,5;10,0475;0;6,275;3,4775;5,070872641;7,75;11,25;39,375;0;939,25;0
2;17/04/2024;5,675;85,5;9,66;0;5,675;3,405;4,703550418;6,5;9,5;33,75;0;939,125;0
3;17/04/2024;4,95;87,25;9,2;0;4,95;2,98;4,124043336;3,75;6,5;22,5;0;938,8;0
4;17/04/2024;4,55;89,5;8,96;0;4,55;2,95;3,882662647;3;5;11,25;0;938,475;0
5;17/04/2024;4,275;90,5;8,8;0;4,275;2,8375;3,678581362;5;7,5;33,75;0;938,225;0
6;17/04/2024;4,175;90,75;8,74;0;4,175;2,7775;3,597471162;3;5,5;56,25;0,5;938,15;0
7;17/04/2024;3,325;93;8,2575;3,75;3,325;2,285;2,904466218;0,5;2,25;101,25;10,25;938,35;0
8;17/04/2024;4,85;89;9,155;123;4,85;3,1575;4,134045383;2,25;4;33,75;4;938,4;0
9;17/04/2024;7,6;79,5;10,9625;263,25;7,6;4,23;6,098697815;7,25;11,25;11,25;0;938,4;0
10;17/04/2024;9,775;70,25;12,615;455,25;9,775;4,555;7,383529989;12;17,5;11,25;0;938,25;0
11;17/04/2024;11,175;66;13,79;416,25;11,175;4,99;8,277946435;13,25;20,5;45;0;938,225;0
