hour;date;Contenido volumetrico (10 cm);Contenido volumetrico (20 cm);Contenido volumetrico (40 cm);Contenido volumetrico (60 cm);Agua util;Temperatura en suelo (10 cm);Temperatura en suelo (20 cm);Temperatura en suelo (40 cm);Temperatura en suelo (60 cm)
11;21/03/2024;18,95;26;30,7;33;60,2980745;14,675;14,1;14,225;12,9
12;21/03/2024;19;26;30,7;33;60,2602745;15,725;14,25;14,15;12,975
13;21/03/2024;19;26;30,65;33;60,1758245;16,825;14,55;14,1;13
14;21/03/2024;19;26;30,6;33;60,0724745;17,3;14,9;14,1;13
15;21/03/2024;19;26;30,625;33;60,1005245;17,7;15,225;14,1;13
16;21/03/2024;19;26;30,65;33;60,1096745;18,25;15,525;14,1;13
17;21/03/2024;18,95;26;30,675;33;60,1093745;18,4;15,825;14,2;13
18;21/03/2024;18,85;26;30,7;33;60,1279745;18,225;16,05;14,275;13
19;21/03/2024;18,8;26;30,65;33;60,0435245;17,675;16,1;14,325;13
20;21/03/2024;18,7;26;30,7;33;60,1090745;17,075;16,1;14,4;13
21;21/03/2024;18,675;26;30,7;33;60,1185245;16,575;16,05;14,45;13
22;21/03/2024;18,6;26;30,7;33;60,1279745;16,2;15,875;14,575;13,1
23;21/03/2024;18,575;25,975;30,7;33;60,1218745;15,825;15,775;14,6;13,1
0;22/03/2024;18,5;25,925;30,7;33;60,0624245;15,5;15,6;14,65;13,1
1;22/03/2024;18,5;25,9;30,7;33;60,0468745;15,2;15,425;14,7;13,1
2;22/03/2024;18,425;25,9;30,7;33;60,0468745;14,875;15,275;14,7;13,1
3;22/03/2024;18,4;25,9;30,7;33;60,0468745;14,6;15,075;14,7;13,175
4;22/03/2024;18,4;25,9;30,7;33;60,0468745;14,35;14,875;14,7;13,2
5;22/03/2024;18,375;25,85;30,7;33;59,9968745;14,05;14,725;14,7;13,25
6;22/03/2024;18,3;25,825;30,7;33;59,9813245;13,75;14,525;14,625;13,3
7;22/03/2024;18,3;25,8;30,7;33;59,9563245;13,425;14,35;14,6;13,3
8;22/03/2024;18,3;25,8;30,7;33;59,9657745;13,3;14,125;14,6;13,3
9;22/03/2024;18,3;25,8;30,65;33;59,8718745;13,5;13,95;14,525;13,3
10;22/03/2024;18,3;25,8;30,675;33;59,9093745;14,25;13,925;14,425;13,3
11;22/03/2024;18,375;25,8;30,65;33;59,8529745;15,45;14,1;14,4;13,3
12;22/03/2024;18,425;25,8;30,6;33;59,7496245;16,925;14,45;14,325;13,3
13;22/03/2024;18,5;25,8;30,6;33;59,7307245;18,25;15;14,3;13,3
14;22/03/2024;18,5;25,825;30,6;33;59,7084745;19,025;15,55;14,3;13,3
15;22/03/2024;18,5;25,9;30,6;33;59,7740245;19,35;16,025;14,325;13,3
16;22/03/2024;18,5;25,9;30,65;33;59,8206745;20,05;16,45;14,4;13,3
17;22/03/2024;18,4;25,9;30,65;33;59,8017745;20,375;16,85;14,45;13,3
18;22/03/2024;18,35;25,9;30,625;33;59,7359245;20,025;17,175;14,6;13,3
19;22/03/2024;18,275;25,9;30,675;33;59,7920245;19,35;17,3;14,75;13,3
20;22/03/2024;18,2;25,9;30,7;33;59,8389745;18,6;17,3;14,85;13,3
21;22/03/2024;18,1;25,875;30,7;33;59,8139745;17,85;17,15;14,95;13,35
22;22/03/2024;18,05;25,8;30,7;33;59,7295245;17,35;16,975;15,1;13,4
23;22/03/2024;18;25,8;30,7;33;59,7484245;16,95;16,8;15,175;13,4
0;23/03/2024;17,95;25,8;30,7;33;59,7578745;16,55;16,6;15,3;13,4
1;23/03/2024;17,9;25,8;30,7;33;59,7578745;16,125;16,375;15,3;13,45
2;23/03/2024;17,9;25,725;30,7;33;59,6923245;15,8;16,175;15,3;13,5
3;23/03/2024;17,825;25,7;30,7;33;59,6578745;15,525;15,975;15,3;13,575
4;23/03/2024;17,8;25,7;30,7;33;59,6862245;15,25;15,8;15,3;13,6
5;23/03/2024;17,775;25,7;30,7;33;59,6767745;14,975;15,6;15,3;13,6
6;23/03/2024;17,7;25,675;30,7;33;59,6423245;14,675;15,4;15,3;13,625
7;23/03/2024;17,7;25,625;30,7;33;59,6017745;14,4;15,225;15,3;13,7
8;23/03/2024;17,675;25,6;30,7;33;59,5862245;14,175;15,025;15,25;13,7
9;23/03/2024;17,6;25,6;30,7;33;59,5862245;14,175;14,85;15,175;13,75
10;23/03/2024;17,6;25,6;30,7;33;59,5578745;14,45;14,75;15,1;13,8
11;23/03/2024;17,65;25,6;30,65;33;59,4923245;15,15;14,75;15,075;13,8
12;23/03/2024;17,7;25,6;30,7;33;59,5484245;16,025;14,85;15;13,8
13;23/03/2024;17,7;25,6;30,675;33;59,4825745;16,85;15,15;14,9;13,8
14;23/03/2024;17,7;25,6;30,65;33;59,4450745;17,1;15,4;14,9;13,8
15;23/03/2024;17,6;25,6;30,625;33;59,3697745;17,375;15,625;14,9;13,8
16;23/03/2024;17,6;25,6;30,625;33;59,3603245;17,825;15,85;14,9;13,8
17;23/03/2024;17,55;25,6;30,6;33;59,3039245;17,85;16,025;14,9;13,8
18;23/03/2024;17,475;25,6;30,625;33;59,3319745;17,35;16,125;14,95;13,8
19;23/03/2024;17,4;25,6;30,65;33;59,3694745;16,675;16,1;15;13,8
20;23/03/2024;17,3;25,575;30,6;33;59,2694745;16;16;15,1;13,8
21;23/03/2024;17,25;25,5;30,65;33;59,2694745;15,35;15,8;15,1;13,8
22;23/03/2024;17,2;25,5;30,7;33;59,3539245;14,825;15,525;15,1;13,8
23;23/03/2024;17,1;25,5;30,7;33;59,3539245;14,35;15,3;15,1;13,8
0;24/03/2024;17,1;25,425;30,7;33;59,2789245;13,9;15,025;15,1;13,8
1;24/03/2024;17,025;25,4;30,675;33;59,2353245;13,45;14,8;15,1;13,8
2;24/03/2024;17;25,4;30,625;33;59,1697745;13,05;14,525;15,1;13,8
3;24/03/2024;16,95;25,4;30,6;32,975;59,0728245;12,725;14,25;15,05;13,875
4;24/03/2024;16,9;25,325;30,6;33;59,0572745;12,375;13,975;14,95;13,9
5;24/03/2024;16,9;25,3;30,6;32,95;58,9322745;12;13,725;14,9;13,9
6;24/03/2024;16,8;25,3;30,6;32,95;58,9322745;11,675;13,475;14,825;13,9
7;24/03/2024;16,8;25,3;30,6;32,925;58,8822745;11,325;13,225;14,75;13,9
8;24/03/2024;16,8;25,275;30,6;33;59,0072745;11,1;12,975;14,625;13,9
9;24/03/2024;16,775;25,2;30,6;32,925;58,7822745;11,175;12,75;14,525;13,9
10;24/03/2024;16,8;25,2;30,6;32,975;58,8822745;11,725;12,6;14,4;13,85
11;24/03/2024;16,8;25,2;30,6;33;58,9228245;12,675;12,675;14,3;13,8
12;24/03/2024;16,875;25,2;30,6;33;58,8944745;13,75;12,9;14,2;13,8
13;24/03/2024;16,9;25,2;30,6;33;58,8755745;14,775;13,25;14,1;13,8
14;24/03/2024;16,85;25,275;30,6;32,975;58,8816745;15,3;13,575;14,05;13,8
15;24/03/2024;16,8;25,25;30,6;32,975;58,8377745;15,4;13,85;14;13,75
16;24/03/2024;16,8;25,275;30,6;32,95;58,7844245;15,925;14,1;14;13,7
17;24/03/2024;16,8;25,3;30,6;32,9;58,6999745;16,175;14,35;14;13,65
18;24/03/2024;16,725;25,225;30,6;32,9;58,6060745;15,925;14,55;14,025;13,6
19;24/03/2024;16,65;25,25;30,6;32,9;58,6216245;15,2;14,6;14,1;13,6
20;24/03/2024;16,575;25,2;30,6;32,9;58,5621745;14,525;14,525;14,1;13,6
21;24/03/2024;16,5;25,2;30,6;32,9;58,5716245;13,95;14,35;14,125;13,6
22;24/03/2024;16,475;25,2;30,6;32,9;58,5810745;13,45;14,175;14,2;13,6
23;24/03/2024;16,4;25,175;30,6;32,9;58,5560745;13,125;13,975;14,2;13,6
0;25/03/2024;16,4;25,125;30,6;32,9;58,5060745;12,8;13,8;14,2;13,6
1;25/03/2024;16,3;25,1;30,6;32,9;58,4810745;12,525;13,575;14,2;13,6
2;25/03/2024;16,3;25,1;30,6;32,9;58,4905245;12,3;13,375;14,2;13,6
3;25/03/2024;16,3;25,1;30,55;32,9;58,4060745;12,075;13,25;14,125;13,6
4;25/03/2024;16,275;25,025;30,575;32,9;58,3685745;11,875;13,075;14,1;13,6
5;25/03/2024;16,2;25;30,5;32,9;58,2310745;11,725;12,875;14,1;13,6
6;25/03/2024;16,2;25;30,525;32,9;58,2685745;11,55;12,75;14;13,5
7;25/03/2024;16,2;25;30,5;32,9;58,2310745;11,375;12,575;13,9;13,5
8;25/03/2024;16,2;25;30,5;32,9;58,2310745;11,325;12,425;13,875;13,5
9;25/03/2024;16,2;24,925;30,5;32,9;58,1560745;11,575;12,325;13,8;13,5
10;25/03/2024;16,2;24,9;30,5;32,9;58,1216245;12,1;12,3;13,75;13,5
11;25/03/2024;16,275;24,95;30,5;32,9;58,1527245;12,975;12,425;13,65;13,45
12;25/03/2024;16,3;25;30,5;32,9;58,1932745;13,675;12,675;13,6;13,4
13;25/03/2024;16,3;25;30,5;32,9;58,1554745;14,5;12,95;13,575;13,4
14;25/03/2024;16,3;25;30,5;32,9;58,1554745;15,05;13,3;13,5;13,4
15;25/03/2024;16,325;25;30,5;32,9;58,1176745;15,475;13,575;13,5;13,4
16;25/03/2024;16,375;25;30,5;32,9;58,1176745;16,05;13,9;13,55;13,4
17;25/03/2024;16,3;25;30,5;32,9;58,0798745;16,275;14,225;13,6;13,325
18;25/03/2024;16,225;25;30,5;32,9;58,0798745;15,7;14,4;13,6;13,3
19;25/03/2024;16,15;25;30,5;32,9;58,0704245;15;14,4;13,7;13,3
20;25/03/2024;16,1;24,975;30,5;32,9;58,0548745;14,375;14,35;13,8;13,3
21;25/03/2024;16,025;24,925;30,5;32,9;58,0048745;13,925;14,2;13,8;13,3
22;25/03/2024;16;24,9;30,5;32,9;57,9798745;13,55;14,025;13,9;13,3
23;25/03/2024;15,975;24,9;30,5;32,9;57,9798745;13,25;13,875;13,9;13,3
0;26/03/2024;15,9;24,9;30,5;32,9;57,9893245;12,875;13,7;13,9;13,3
1;26/03/2024;15,9;24,825;30,5;32,9;57,9143245;12,575;13,525;13,9;13,3
2;26/03/2024;15,9;24,8;30,5;32,9;57,8987745;12,3;13,35;13,9;13,3
3;26/03/2024;15,825;24,8;30,5;32,9;57,8987745;12,025;13,15;13,9;13,3
4;26/03/2024;15,8;24,8;30,5;32,9;57,8798745;11,7;12,95;13,9;13,3
5;26/03/2024;15,8;24,775;30,5;32,9;57,8737745;11,4;12,775;13,85;13,3
6;26/03/2024;15,725;24,725;30,5;32,9;57,8332245;11,05;12,525;13,8;13,3
7;26/03/2024;15,7;24,7;30,5;32,9;57,7987745;10,65;12,35;13,75;13,3
8;26/03/2024;15,7;24,7;30,5;32,9;57,8082245;10,325;12,1;13,65;13,3
9;26/03/2024;15,7;24,7;30,5;32,9;57,7987745;10,325;11,85;13,6;13,3
10;26/03/2024;15,7;24,6;30,5;32,9;57,6798745;10,6;11,75;13,5;13,3
11;26/03/2024;15,7;24,6;30,5;32,9;57,6798745;11,05;11,7;13,4;13,3
12;26/03/2024;15,7;24,6;30,5;32,9;57,6798745;11,575;11,8;13,325;13,3
13;26/03/2024;15,7;24,6;30,5;32,9;57,6515245;12,05;11,875;13,3;13,3
14;26/03/2024;15,7;24,6;30,5;32,9;57,6420745;12,275;12,025;13,2;13,3
15;26/03/2024;15,7;24,6;30,5;32,9;57,6420745;12,375;12,125;13,1;13,225
16;26/03/2024;15,7;24,6;30,5;32,9;57,6231745;12,4;12,25;13,1;13,2
17;26/03/2024;15,65;24,6;30,5;32,9;57,6326245;12,45;12,3;13,1;13,175
18;26/03/2024;15,6;24,6;30,5;32,9;57,6042745;12,15;12,3;13,1;13,1
19;26/03/2024;15,525;24,6;30,5;32,975;57,7542745;11,7;12,275;13,1;13,1
20;26/03/2024;15,5;24,6;30,5;33;57,8137245;11,25;12,125;13,05;13,1
21;26/03/2024;15,5;24,5;30,5;33;57,7326245;10,9;11,95;13;13,1
22;26/03/2024;15,475;24,5;30,5;33;57,7326245;10,675;11,825;13;13,075
23;26/03/2024;15,475;24,5;30,5;32,95;57,6137245;10,5;11,65;12,95;13
0;27/03/2024;15,4;24,5;30,5;32,9;57,5231745;10,375;11,55;12,9;13
1;27/03/2024;15,4;24,5;30,5;32,9;57,5326245;10,25;11,375;12,9;13
2;27/03/2024;15,4;24,5;30,5;32,9;57,5326245;10,075;11,275;12,825;12,9
3;27/03/2024;15,4;24,4;30,475;32,9;57,3762245;9,85;11,125;12,8;12,9
4;27/03/2024;15,4;24,4;30,45;32,925;57,4076245;9,725;10,975;12,75;12,9
5;27/03/2024;15,4;24,4;30,5;33;57,6231745;9,625;10,875;12,65;12,9
6;27/03/2024;15,4;24,4;30,475;32,975;57,5356745;9,6;10,8;12,6;12,9
7;27/03/2024;15,4;24,4;30,4;32,9;57,2542745;9,6;10,675;12,525;12,9
8;27/03/2024;15,4;24,4;30,4;32,9;57,2542745;9,65;10,6;12,425;12,8
9;27/03/2024;15,475;24,4;30,4;32,9;57,2542745;9,875;10,6;12,4;12,8
10;27/03/2024;15,5;24,35;30,4;32,9;57,2042745;10,225;10,6;12,3;12,8
11;27/03/2024;15,5;24,325;30,4;32,9;57,1509245;10,475;10,625;12,3;12,8
12;27/03/2024;15,55;24,325;30,4;32,9;57,1509245;10,95;10,75;12,2;12,7
13;27/03/2024;15,6;24,35;30,4;32,9;57,1664745;11,375;10,875;12,15;12,7
14;27/03/2024;15,6;24,4;30,4;32,9;57,2070245;12;11,075;12,1;12,6
15;27/03/2024;15,7;24,4;30,4;32,9;57,1786745;12,45;11,3;12,1;12,6
16;27/03/2024;15,7;24,4;30,4;32,9;57,1786745;12,825;11,525;12,1;12,6
17;27/03/2024;15,7;24,4;30,4;32,9;57,1597745;13,05;11,8;12,1;12,6
18;27/03/2024;15,7;24,4;30,4;32,8;56,9597745;12,875;11,95;12,1;12,5
19;27/03/2024;15,625;24,4;30,4;32,8;56,9503245;12,45;12;12,175;12,5
20;27/03/2024;15,6;24,4;30,4;32,8;56,9597745;11,975;11,975;12,225;12,45
21;27/03/2024;15,6;24,4;30,4;32,925;57,2003245;11,725;11,9;12,3;12,4
22;27/03/2024;15,575;24,35;30,425;32,95;57,2567245;11,475;11,825;12,3;12,4
23;27/03/2024;15,525;24,3;30,4;32,9;57,0503245;11,075;11,75;12,3;12,4
0;28/03/2024;15,5;24,3;30,4;32,9;57,0692245;10,675;11,575;12,3;12,4
1;28/03/2024;15,5;24,3;30,4;32,8;56,8786745;10,4;11,425;12,3;12,4
2;28/03/2024;15,475;24,3;30,4;32,8;56,8786745;10,175;11,275;12,3;12,4
3;28/03/2024;15,4;24,3;30,4;32,8;56,8786745;9,9;11,125;12,3;12,4
4;28/03/2024;15,4;24,275;30,4;32,8;56,8536745;9,8;10,925;12,3;12,4
5;28/03/2024;15,4;24,225;30,4;32,8;56,8036745;9,675;10,825;12,3;12,4
6;28/03/2024;15,4;24,2;30,4;32,8;56,7786745;9,525;10,7;12,225;12,4
7;28/03/2024;15,4;24,2;30,4;32,8;56,7786745;9,375;10,575;12,15;12,4
8;28/03/2024;15,4;24,2;30,4;32,8;56,7786745;9,325;10,425;12,1;12,4
9;28/03/2024;15,4;24,2;30,4;32,8;56,7786745;9,625;10,35;12,075;12,4
10;28/03/2024;15,4;24,2;30,4;32,8;56,7786745;10,25;10,4;11,975;12,325
11;28/03/2024;15,5;24,2;30,4;32,825;56,8192245;10,825;10,525;11,9;12,3
12;28/03/2024;15,5;24,2;30,4;32,9;56,9503245;11;10,7;11,9;12,3
13;28/03/2024;15,5;24,2;30,4;32,9;56,9408745;11,125;10,825;11,875;12,3
14;28/03/2024;15,5;24,2;30,4;32,9;56,9408745;11,4;10,9;11,8;12,3
15;28/03/2024;15,5;24,2;30,4;32,9;56,9408745;11,95;11,05;11,8;12,3
16;28/03/2024;15,6;24,2;30,4;32,85;56,8125245;12,275;11,275;11,8;12,25
17;28/03/2024;15,55;24,2;30,4;32,9;56,9030745;12,175;11,4;11,8;12,2
18;28/03/2024;15,55;24,2;30,4;32,925;56,9530745;12,05;11,475;11,825;12,2
19;28/03/2024;15,65;24,2;30,4;32,9;56,9030745;11,875;11,525;11,9;12,175
20;28/03/2024;15,7;24,2;30,4;32,95;57,0030745;11,675;11,55;11,9;12,1
21;28/03/2024;15,825;24,2;30,4;32,9;56,9030745;11,55;11,5;11,9;12,1
22;28/03/2024;16,225;24,2;30,4;32,9;56,9314245;11,425;11,45;11,9;12,1
23;28/03/2024;18,15;24,775;30,425;32,9;57,5722745;11,3;11,4;11,9;12,1
0;29/03/2024;19,85;25,6;30,65;32,9;58,9993745;11,075;11,325;11,9;12,1
1;29/03/2024;20,575;26,5;31,225;32,925;61,2560245;10,85;11,25;11,9;12,1
2;29/03/2024;20,55;26,7;31,375;33;62,0105745;10,7;11,1;11,9;12,1
3;29/03/2024;20,575;26,65;31,325;33;61,9328245;10,575;11,075;11,9;12,1
4;29/03/2024;20,625;26,7;31,3;33,1;62,1736745;10,425;10,95;11,9;12,1
5;29/03/2024;20,6;26,7;31,3;33,1;62,1736745;10,325;10,9;11,9;12,1
6;29/03/2024;20,675;26,8;31,3;33,1;62,2736745;10,15;10,8;11,9;12,1
7;29/03/2024;20,65;26,8;31,2;33,1;62,1236745;10;10,75;11,9;12,1
8;29/03/2024;20,6;26,8;31,2;33,1;62,1236745;9,9;10,6;11,8;12,1
9;29/03/2024;20,625;26,775;31,2;33,025;61,9486745;10;10,6;11,8;12,1
10;29/03/2024;20,65;26,8;31,15;33;61,8581245;10,125;10,5;11,8;12,075
11;29/03/2024;20,6;26,775;31,1;33;61,7486745;10,35;10,5;11,8;12
12;29/03/2024;20,6;26,7;31,1;33;61,6925745;10,6;10,575;11,7;12
13;29/03/2024;20,6;26,7;31,1;33,025;61,7520245;10,85;10,6;11,7;12
14;29/03/2024;20,625;26,7;31,1;33,075;61,8520245;10,925;10,725;11,6;12
15;29/03/2024;20,7;26,75;31,075;33,025;61,7834245;11,1;10,8;11,6;11,95
16;29/03/2024;20,775;26,8;31;33;61,6992745;11,125;10,85;11,6;11,9
17;29/03/2024;20,75;26,8;31;33;61,7559745;11,35;10,9;11,6;11,9
18;29/03/2024;20,725;26,85;31;33;61,8626745;11,575;11;11,6;11,9
19;29/03/2024;20,7;26,825;31;33;61,8849245;11,25;11,1;11,6;11,9
20;29/03/2024;20,6;26,8;31;33;61,9071745;10,8;11,075;11,6;11,9
21;29/03/2024;20,6;26,8;30,925;33;61,8419245;10,525;10,925;11,6;11,9
22;29/03/2024;20,55;26,8;30,925;33;61,8891745;10,325;10,85;11,6;11,9
23;29/03/2024;20,5;26,8;30,9;33;61,8800245;9,95;10,75;11,6;11,9
0;30/03/2024;20,5;26,7;30,9;33;61,8367245;9,7;10,575;11,6;11,9
1;30/03/2024;20,475;26,7;30,9;33;61,8461745;9,575;10,425;11,6;11,9
2;30/03/2024;20,4;26,7;30,9;33;61,8650745;9,425;10,325;11,6;11,85
3;30/03/2024;20,4;26,7;30,9;33;61,9028745;9,375;10,25;11,6;11,8
4;30/03/2024;20,4;26,7;30,9;33;61,9123245;9,3;10,1;11,525;11,8
5;30/03/2024;20,4;26,65;30,9;33;61,8906745;9,225;10,05;11,475;11,8
6;30/03/2024;20,4;26,6;30,9;33;61,8501245;9,125;9,9;11,4;11,8
7;30/03/2024;20,5;26,6;30,9;33;61,8595745;9,05;9,875;11,4;11,8
8;30/03/2024;20,5;26,6;30,875;33;61,8504245;9;9,8;11,35;11,8
9;30/03/2024;20,5;26,6;30,8;33;61,7757245;9,225;9,725;11,3;11,8
10;30/03/2024;20,5;26,6;30,8;33;61,7757245;9,85;9,75;11,3;11,8
11;30/03/2024;20,5;26,6;30,8;32,975;61,7540745;10,525;9,9;11,2;11,8
12;30/03/2024;20,55;26,625;30,8;33;61,8290745;11,075;10,125;11,15;11,725
13;30/03/2024;20,6;26,675;30,8;33;61,8696245;11,675;10,375;11,1;11,7
14;30/03/2024;20,6;26,7;30,8;33;61,9040745;12,2;10,675;11,1;11,7
15;30/03/2024;20,6;26,7;30,8;32,975;61,8540745;12,575;10,925;11,1;11,6
16;30/03/2024;20,575;26,7;30,8;32,9;61,7040745;12,925;11,225;11,2;11,6
17;30/03/2024;20,5;26,7;30,8;32,9;61,6851745;12,975;11,425;11,25;11,6
18;30/03/2024;20,5;26,7;30,8;32,9;61,6662745;12,85;11,625;11,3;11,6
19;30/03/2024;20,4;26,7;30,775;32,9;61,6287745;12,325;11,7;11,35;11,6
20;30/03/2024;20,4;26,7;30,775;32,9;61,6382245;11,825;11,625;11,4;11,6
21;30/03/2024;20,325;26,6;30,8;32,975;61,7446245;11,45;11,55;11,45;11,6
22;30/03/2024;20,575;26,6;30,8;33;61,8229745;11,05;11,4;11,55;11,6
23;30/03/2024;20,825;26,675;30,8;33;61,9074245;10,725;11,275;11,6;11,6
0;31/03/2024;20,9;26,75;30,8;33;61,9918745;10,425;11,125;11,6;11,6
1;31/03/2024;20,85;26,8;30,8;32,975;62,0296745;10,225;10,95;11,6;11,6
3;31/03/2024;20,8;26,8;30,8;32,975;62,0769245;9,9;10,825;11,6;11,6
4;31/03/2024;20,8;26,8;30,8;33;62,1552745;9,8;10,65;11,6;11,6
5;31/03/2024;20,8;26,8;30,8;33;62,2025245;9,625;10,5;11,6;11,6
6;31/03/2024;20,75;26,8;30,8;33;62,2403245;9,425;10,375;11,6;11,6
7;31/03/2024;20,7;26,8;30,8;33;62,2592245;9,35;10,275;11,525;11,6
8;31/03/2024;20,725;26,8;30,8;33;62,3064745;9,3;10,125;11,475;11,6
9;31/03/2024;21,175;26,85;30,8;33;62,4698745;9,275;10,05;11,4;11,6
10;31/03/2024;21,875;27,15;30,85;33;63,5196045;9,125;9,925;11,4;11,6
11;31/03/2024;21,65;27,375;31,025;33;64,0770345;9,1;9,825;11,325;11,6
12;31/03/2024;21,5;27,4;31,1;33;64,2079195;9,375;9,8;11,3;11,6
13;31/03/2024;21,425;27,4;31,1;33;64,1786245;9,875;9,8;11,225;11,6
14;31/03/2024;21,35;27,4;31,15;33,05;64,2874745;10,575;9,925;11,15;11,6
15;31/03/2024;21,4;27,4;31,2;33,025;64,2935745;10,95;10,125;11,1;11,6
16;31/03/2024;21,4;27,4;31,125;33;64,1121745;11,225;10,325;11,1;11,6
17;31/03/2024;21,375;27,4;31,15;33;64,1024245;11,925;10,525;11,1;11,5
18;31/03/2024;21,3;27,4;31,125;33;63,9987745;12,1;10,8;11,1;11,5
19;31/03/2024;21,225;27,325;31,15;33;63,9140245;11,875;10,95;11,1;11,5
20;31/03/2024;21,125;27,3;31,1;33;63,7478745;11,45;11;11,1;11,425
21;31/03/2024;21,05;27,3;31,1;33;63,7195245;11;10,975;11,2;11,4
22;31/03/2024;21;27,25;31,1;33;63,6317245;10,5;10,875;11,25;11,4
23;31/03/2024;20,925;27,2;31,1;33;63,5533745;10,075;10,75;11,3;11,4
0;01/04/2024;20,9;27,2;31,1;33;63,5344745;9,85;10,575;11,3;11,4
1;01/04/2024;20,9;27,15;31,1;33;63,4750245;9,625;10,425;11,3;11,4
2;01/04/2024;20,8;27,1;31,1;33;63,4061245;9,325;10,275;11,3;11,4
3;01/04/2024;20,8;27,1;31,1;33;63,4061245;9,025;10,125;11,3;11,4
4;01/04/2024;20,8;27,075;31,1;33;63,3716745;8,8;9,925;11,3;11,4
5;01/04/2024;20,775;27;31,1;33;63,2966745;8,6;9,775;11,2;11,4
6;01/04/2024;20,7;27;31,05;33;63,2216745;8,6;9,625;11,15;11,4
7;01/04/2024;20,7;27;31,025;33;63,1841745;8,5;9,5;11,1;11,4
8;01/04/2024;20,7;27;31;33;63,1277745;8,5;9,4;11,075;11,4
9;01/04/2024;20,7;26,975;31;33;63,1027745;8,525;9,35;11;11,4
10;01/04/2024;20,7;26,9;31;33;63,0088745;8,75;9,3;10,9;11,4
11;01/04/2024;20,675;26,9;31;33,1;63,2088745;9,05;9,3;10,9;11,4
12;01/04/2024;20,7;26,9;31;33;63,0088745;9,525;9,375;10,825;11,4
13;01/04/2024;20,75;26,9;31;33;62,9805245;10,175;9,5;10,8;11,35
14;01/04/2024;20,8;26,925;31;33;62,9960745;10,725;9,725;10,8;11,3
15;01/04/2024;20,8;26,9;31;33;62,9521745;11,275;9,925;10,8;11,3
16;01/04/2024;20,775;26,925;30,925;33;62,8457745;11,575;10,25;10,8;11,3
17;01/04/2024;20,75;26,9;30,9;33;62,7643745;11,775;10,425;10,8;11,3
18;01/04/2024;20,7;26,975;30,9;33;62,8204745;11,9;10,65;10,8;11,3
19;01/04/2024;20,7;26,9;30,9;33;62,7265745;11,75;10,8;10,8;11,3
20;01/04/2024;20,6;26,9;30,9;33;62,7076745;11,35;10,9;10,9;11,2
21;01/04/2024;20,575;26,9;30,9;33;62,7076745;10,925;10,8;10,9;11,2
22;01/04/2024;20,5;26,9;30,9;33;62,7076745;10,45;10,775;10,9;11,2
23;01/04/2024;20,5;26,9;30,9;33;62,7076745;10,125;10,6;11;11,2
0;02/04/2024;20,475;26,875;30,9;33;62,6826745;9,75;10,45;11;11,2
1;02/04/2024;20,4;26,8;30,9;33;62,6076745;9,3;10,275;11,1;11,2
2;02/04/2024;20,4;26,8;30,9;33;62,6076745;8,975;10,025;11,1;11,2
3;02/04/2024;20,35;26,8;30,9;33;62,6076745;8,7;9,85;11,05;11,2
4;02/04/2024;20,3;26,8;30,9;33;62,6076745;8,375;9,675;11;11,2
5;02/04/2024;20,3;26,8;30,9;33;62,6076745;8,15;9,45;10,925;11,2
6;02/04/2024;20,3;26,725;30,9;33;62,5326745;7,925;9,275;10,9;11,2
7;02/04/2024;20,275;26,7;30,9;33;62,5076745;7,85;9,125;10,875;11,2
8;02/04/2024;20,225;26,7;30,9;33;62,5076745;7,8;8,95;10,8;11,2
9;02/04/2024;20,25;26,7;30,875;33;62,4701745;7,975;8,875;10,775;11,2
10;02/04/2024;20,275;26,7;30,825;33;62,3668245;8,275;8,8;10,65;11,2
11;02/04/2024;20,3;26,7;30,8;33;62,3293245;8,75;8,875;10,6;11,1
12;02/04/2024;20,3;26,7;30,8;33;62,3104245;9,45;8,95;10,55;11,1
13;02/04/2024;20,3;26,7;30,8;33;62,2820745;10,15;9,175;10,475;11,1
14;02/04/2024;20,3;26,7;30,8;33;62,2537245;10,675;9,425;10,4;11,1
15;02/04/2024;20,3;26,7;30,8;33;62,2442745;11,15;9,725;10,4;11,1
16;02/04/2024;20,3;26,7;30,8;33;62,2253745;11,35;9,975;10,4;11,1
17;02/04/2024;20,3;26,7;30,8;33;62,2159245;11,05;10,15;10,4;11,05
18;02/04/2024;20,3;26,7;30,8;33;62,2064745;11;10,275;10,45;11
19;02/04/2024;20,375;26,7;30,8;33;62,1970245;11,1;10,3;10,5;11
20;02/04/2024;20,4;26,7;30,8;33;62,1686745;11,05;10,4;10,6;10,975
21;02/04/2024;20,4;26,7;30,8;33;62,1686745;10,875;10,4;10,6;10,9
22;02/04/2024;20,4;26,7;30,8;33;62,1686745;10,775;10,4;10,6;10,9
23;02/04/2024;20,4;26,7;30,8;33;62,1686745;10,65;10,4;10,7;10,9
0;03/04/2024;20,375;26,7;30,8;32,975;62,1092245;10,575;10,4;10,7;10,9
1;03/04/2024;20,375;26,675;30,8;33;62,1342245;10,425;10,4;10,8;10,9
2;03/04/2024;20,3;26,65;30,8;33;62,0997745;10,4;10,325;10,8;10,9
3;03/04/2024;20,3;26,6;30,8;32,975;61,9903245;10,35;10,3;10,8;10,9
4;03/04/2024;20,3;26,6;30,8;32,975;61,9808745;10,25;10,3;10,8;10,9
5;03/04/2024;20,3;26,6;30,8;33;62,0403245;10,1;10,275;10,8;10,9
